,0
241,https://ournewenglandlegends.com/podcast-262-the-haunted-well-of-sabattus/
242,https://ournewenglandlegends.com/podcast-252-the-darn-man-of-windham-county/
243,https://ournewenglandlegends.com/podcast-180-the-wreck-of-the-montreal-express/
244,https://ournewenglandlegends.com/podcast-260-orford-is-electric-lady-land/
245,https://ournewenglandlegends.com/podcast-17-when-boston-banned-christmas/
246,https://ournewenglandlegends.com/podcast-160-the-dinglehole/
247,https://ournewenglandlegends.com/podcast-135-lincolns-heartbreak-house/
248,https://ournewenglandlegends.com/podcast-18-the-jingle-bells-scandal/
249,https://ournewenglandlegends.com/contact/
250,https://ournewenglandlegends.com/podcast-269-the-ghost-ship-sea-bird/
251,https://ournewenglandlegends.com/podcast-48-the-devil-left-his-mark-in-rhode-island/
252,https://ournewenglandlegends.com/podcast-217-vermonts-witch-trial/
253,https://ournewenglandlegends.com/podcast-100-hunting-glastonburys-glawackus/
254,https://ournewenglandlegends.com/podcast-165-aunt-lonnie-of-tucker-hollow-road/
255,https://ournewenglandlegends.com/podcast-13-emilys-haunted-bridge/
256,https://ournewenglandlegends.com/podcast-220-a-hermit-named-coffin-by-the-desert-of-maine/
257,https://ournewenglandlegends.com/podcast-196-the-haunted-homestead-of-daniel-benton/
258,https://ournewenglandlegends.com/podcast-118-the-black-dog-of-meriden/
259,https://ournewenglandlegends.com/podcast-246-the-ghost-of-penfield-reef-lighthouse/
260,https://ournewenglandlegends.com/podcast-148-the-cobble-mountain-critter/
261,https://ournewenglandlegends.com/podcast-164-bank-streets-haunted-stove/
262,https://ournewenglandlegends.com/podcast-137-the-bugbee-family-murder-mystery/
263,https://ournewenglandlegends.com/podcast-230-the-haunted-hartness-house/
264,https://ournewenglandlegends.com/podcast-214-the-leaping-lumberjacks-of-central-maine/
265,https://ournewenglandlegends.com/podcast-24-connecticuts-fairy-village/
266,https://ournewenglandlegends.com/podcast-16-cassie-the-sea-serpent/
267,https://ournewenglandlegends.com/podcast-266-the-haunted-mt-washington-hotel/
268,https://ournewenglandlegends.com/about-new-england-legends/crew/
269,https://ournewenglandlegends.com/podcast-83-the-pigman-of-northfield/
270,https://ournewenglandlegends.com/podcast-151-the-haunting-of-wood-island/
271,https://ournewenglandlegends.com/podcast-178-franklins-cursed-apple/
272,https://ournewenglandlegends.com/podcast-71-vermonts-ancient-egyptian-mummy/
273,https://ournewenglandlegends.com/podcast-42-ghosts-in-the-machines/
274,https://ournewenglandlegends.com/podcast-176-the-haunted-sprague-mansion/
275,https://ournewenglandlegends.com/podcast-199-the-witch-of-pepperell/
276,https://ournewenglandlegends.com/campfireside-chats-3-new-england-folklore-with-peter-muise/
277,https://ournewenglandlegends.com/podcast-203-the-devil-made-me-do-it/
278,https://ournewenglandlegends.com/podcast-205-the-vermontasaurus/
